hsa-mir-184
hsa-mir-187
hsa-mir-1908
hsa-mir-191
hsa-mir-1910
hsa-mir-1913
hsa-mir-1914
hsa-mir-192
hsa-mir-194-1
hsa-mir-194-2
hsa-mir-195
hsa-mir-1976
hsa-mir-200a
hsa-mir-200b
hsa-mir-200c
hsa-mir-203
hsa-mir-210
hsa-mir-2114
hsa-mir-2115
hsa-mir-212
hsa-mir-215
hsa-mir-216a
hsa-mir-216b
hsa-mir-217
hsa-mir-223
hsa-mir-2277
hsa-mir-2278
hsa-mir-23a
hsa-mir-23c
hsa-mir-25
hsa-mir-26b
hsa-mir-28
hsa-mir-29b-1
hsa-mir-29b-2
hsa-mir-301a
hsa-mir-3065
hsa-mir-3074
hsa-mir-30a
hsa-mir-30b
hsa-mir-30c-2
hsa-mir-30d
hsa-mir-31
hsa-mir-3127
hsa-mir-3129
hsa-mir-3136
hsa-mir-3143
hsa-mir-3145
hsa-mir-3154
hsa-mir-3157
hsa-mir-3174
hsa-mir-3177
hsa-mir-3191
hsa-mir-3198
hsa-mir-3199-1
hsa-mir-32
hsa-mir-3200
hsa-mir-320b-2
hsa-mir-320d-1
hsa-mir-323
hsa-mir-335
hsa-mir-33b
hsa-mir-346
hsa-mir-34b
hsa-mir-3605
hsa-mir-3607
hsa-mir-3609
hsa-mir-3610
hsa-mir-3611
hsa-mir-3620
hsa-mir-3622a
hsa-mir-3648
hsa-mir-3652
hsa-mir-3654
hsa-mir-3662
hsa-mir-3664
hsa-mir-3676
hsa-mir-3678
hsa-mir-3679
hsa-mir-3687
hsa-mir-3690
hsa-mir-372
hsa-mir-374c
hsa-mir-377
hsa-mir-378
hsa-mir-380
hsa-mir-3911
hsa-mir-3917
hsa-mir-3922
hsa-mir-3940
hsa-mir-3941
hsa-mir-3942
hsa-mir-421
hsa-mir-425
hsa-mir-4286
hsa-mir-429
hsa-mir-433
hsa-mir-449a
hsa-mir-449b
hsa-mir-455
hsa-mir-489
hsa-mir-490
hsa-mir-491
hsa-mir-499
hsa-mir-501
hsa-mir-505
hsa-mir-506
hsa-mir-507
hsa-mir-509-3
hsa-mir-511-1
hsa-mir-511-2
hsa-mir-514b
hsa-mir-520a
hsa-mir-520b
hsa-mir-532
hsa-mir-543
hsa-mir-545
hsa-mir-548j
hsa-mir-548k
hsa-mir-548q
hsa-mir-548t
hsa-mir-552
hsa-mir-559
hsa-mir-579
hsa-mir-580
