AACS.65985
ABHD10.55347
ACBD5.91452
ACOT6.641372
ACTN1.87
ADAL.161823
ADIPOR2.79602
AGPHD1.123688
ALDH3B1.221
ALDH9A1.223
ALG14.199857
ALS2CR4.65062
AMOT.154796
ANAPC13.25847
ANKLE2.23141
ANKRD46.157567
ANXA1.301
ANXA2P2.304
ANXA2.302
ANXA3.306
ARF6.382
ASAP2.8853
ASRGL1.80150
AXL.558
BCAP29.55973
BDH1.622
BID.637
BTBD11.121551
BTNL9.153579
C11orf74.119710
C16orf5.29965
C16orf89.146556
C19orf42.79086
C1orf112.55732
C5orf47.133491
C6orf136.221545
C6orf168.84553
C9orf122.158228
CARKD.55739
CCDC149.91050
CCDC90A.63933
CD276.80381
CDADC1.81602
CDCP1.64866
CFI.3426
CFL2.1073
CIDECP.152302
CNN3.1266
COL8A2.1296
COX8A.1351
CSGALNACT2.55454
CXCL16.58191
CYB5D1.124637
CYP2S1.29785
DCLK2.166614
DDX52.11056
DSC2.1824
DTX4.23220
EBAG9.9166
EHBP1L1.254102
ERBB3.2065
ESAM.90952
F11R.50848
FAAH.2166
FAM155B.27112
FAM176A.84141
FAM36A.116228
FAM54B.56181
FBXO10.26267
FDX1.2230
FLII.2314
FLJ33630.644873
FLJ42709.441094
FLNA.2316
FXN.2395
GGA3.23163
GNA14.9630
GNAS.2778
GPR110.266977
GRB7.2886
GZF1.64412
HDHD2.84064
HLF.3131
ICAM1.3383
IDS.3423
IGSF9.57549
INPP5J.27124
IQGAP2.10788
ITGA3.3675
KATNAL2.83473
KCNIP3.30818
KCNQ1.3784
KDM5B.10765
KIAA0114.57291
KIAA0427.9811
KIAA1217.56243
LASP1.3927
LDHB.3945
LGALS3.3958
LGI3.203190
LIPH.200879
LLGL1.3996
LOC286002.286002
LOH12CR2.503693
LRRC2.79442
LRRFIP2.9209
LYRM7.90624
MACC1.346389
MAPKAP1.79109
MCCC2.64087
MDFIC.29969
METTL7A.25840
MET.4233
MEX3C.51320
MICAL2.9645
MKKS.8195
MLEC.9761
MMP15.4324
MOCS2.4338
MPZL2.10205
MRPL34.64981
MST1R.4486
MTMR11.10903
MTX2.10651
MVP.9961
MYT1.4661
NDUFA5.4698
NDUFA8.4702
NFIA.4774
NFYC.4802
NGEF.25791
NT5C3L.115024
NUCB2.4925
NUDT9.53343
PAFAH2.5051
PAPSS1.9061
PDE5A.8654
PIAS3.10401
PIGH.5283
PLEKHN1.84069
PLXNB2.23654
PPARGC1A.10891
PPRC1.23082
PROS1.5627
PRSS22.64063
PTPRE.5791
PTPRF.5792
PTRF.284119
PVRL4.81607
QDPR.5860
RARG.5916
RBP7.116362
RBPMS2.348093
RCAN2.10231
RDH11.51109
RICH2.9912
RTN4IP1.84816
RUNX1.861
RWDD4A.201965
SDC4.6385
SEL1L3.23231
SEMA4C.54910
SEPT9.10801
SERPINA1.5265
SERPINB8.5271
SFTPC.6440
SFXN3.81855
SFXN4.119559
SHROOM4.57477
SIRT4.23409
SLC25A38.54977
SLC25A42.284439
SLC35B1.10237
SLC35F2.54733
SLC39A11.201266
SLC4A4.8671
SLC5A8.160728
SNTA1.6640
SPATA24.202051
SPATS2L.26010
SRPRB.58477
STK38.11329
SUCLG1.8802
SYPL2.284612
TAGLN2.8407
TBC1D2.55357
TCTA.6988
TEP1.7011
TIMM17B.10245
TMCO4.255104
TMEM43.79188
TMEM98.26022
TPMT.7172
UBE2D4.51619
VDAC3.7419
VWA5A.4013
WASF3.10810
WSB2.55884
WWOX.51741
ZNF217.7764
A4GNT
ABCC3
ABLIM1
ACSL5
AGPAT2
AKNA
ALAD
AMHR2
ANGPTL2
ANXA2
ANXA6
APOL3
ARHGEF1
ARHGEF2
ARNTL
ATP9A
BBC3
BIK
BMP1
C10orf91
C14orf183
C15orf62
C17orf103
C1S
C1orf111
C1orf133
C1orf180
C20orf195
C2orf54
C5orf62
C7orf65
CAMK2N1
CAPG
CCR1
CDON
CDSN
CGN
CHI3L1
CLCF1
CLDN1
CPNE5
CRABP2
CRISPLD2
CSF1R
CSF2
CXCL16
DHRS3
DHRS9
DNAJB2
DNAJC17
DUSP1
DUSP5
DUSP6
EBI3
EGLN2
EMP1
EPHA4
FAM107B
FAM43A
FAM49A
FBXO44
FGGY
FLJ41603
FN1
FSTL3
FXYD2
GCHFR
GIGYF1
GIT1
GJB3
GNA14
GPR115
GPR183
GPR87
HDAC9
HMGA1
HSD17B8
ICAM1
IFIT2
IL16
IL23A
ITGA2
ITIH2
KIAA0922
KLF16
KLF6
KLHL21
KRT13
KRT15
KRT19
LAMP3
LBR
LGALS1
LIMK1
LOC100126784
LOC284009
LOC400578
LOC440354
LOC730755
LTBP3
LY6G6C
LYN
MAL2
MAPK13
MDK
MFSD7
MICAL2
MICALCL
MIR1288
MIR146B
MIR155
MIR155HG
MIR21
MIR33B
MMP7
MYO1G
NAV2
NCRNA00152
NFE2L3
NFKBIE
NOD1
NUMBL
OBFC1
P2RY6
PCDHGC4
PCDHGC5
PDE6A
PDLIM4
PEX10
PFDN1
PIGV
PKM2
PLEKHA8
PLXNB2
PPP1R15A
PTP4A2
PTPRF
PTTG1IP
RAB11FIP1
RAB40C
RAI1
RALGPS1
RASSF5
RCBTB2
RCC1
RFTN1
RIN1
RNF208
RUNX1
RUNX2
S100A10
S100A12
S100A16
S100A4
S100A6
SAP30BP
SCAI
SCARA3
SCNN1A
SDC3
SEL1L3
SELPLG
9-Sep
SERPINA1
SFN
SFTPB
SH3BP2
SLC34A2
SMCHD1
SNHG3.RCC1
SNORA71B
SNORD7
SPATA12
SREBF1
SRRD
STRA6
SUSD4
SYT12
TACSTD2
TAF1B
TAGLN2
TCF7
TGM1
TM7SF4
TMC6
TMC8
TMEM173
TMIGD1
TMPRSS4
TNFRSF1A
TRIM29
TRPV2
TYRO3
UBE2Z
UBXN10
UBXN11
ZBTB7C
ZC3H12A
ZNRF2
ZNRF3
hsa.let.7i
hsa.mir.100
hsa.mir.103.1
hsa.mir.106a
hsa.mir.107
hsa.mir.1179
hsa.mir.1180
hsa.mir.1247
hsa.mir.1249
hsa.mir.1251
hsa.mir.125b.1
hsa.mir.126
hsa.mir.1262
hsa.mir.127
hsa.mir.1271
hsa.mir.1275
hsa.mir.128.1
hsa.mir.128.2
hsa.mir.1287
hsa.mir.1288
hsa.mir.129.1
hsa.mir.1291
hsa.mir.1292
hsa.mir.1301
